termins;definition;source
Капитализация (рыночная капитализация);стоимость публичной компании, рассчитанная как произведение котировки обыкновенных акций компании на общее число обыкновенных акций в обращении. Капитализация отражает как реальное состояние дел компании, так и сформированные на рынке ожидания инвесторов относительно ее будущих финансовых успехов, потому что инвесторы часто приобретают акции, рассчитывая потенциал развития компании.;empirix.ru
Квант;(англ. quant) так в мире трейдинга называют математиков, программистов или физиков, которые работают в инвестиционных компаниях с целью разработки торговых роботов или алгоритмов.;empirix.ru
Квота;способ количественного ограничения производства или ввоза товаров на территорию государства. На финансовых рынках квотирование часто относят к действию картелей, регулирующих добычу нефти или производство сельскохозяйственных товаров (например, сахара). В таком случае увеличение квоты добычи/производства способствует росту предложения товара, и наоборот.;empirix.ru
Керри-трейдинг;(англ. carry-trading) вид долгосрочной торговли, при которой прибыль зарабатывается на разнице процентных ставок двух стран, чьи валюты участвуют в сделке.;empirix.ru
Книга ордеров;(англ. order book) все стоповые и лимитные ордера на покупку или продажу инструмента, находящиеся у дилера в определенный момент времени.;empirix.ru
Стакан заявок, стакан цен, рыночный стакан, глубина рынка;так еще называют книгу ордеров. Англ. — DOM (depth of market), LOB (limit order book).;empirix.ru
Количественный трейдинг;метод торговли на финансовых рынках, когда используются алгоритмические стратегии, высокочастотные и арбитражные стратегии.;empirix.ru
Комиссия;плата трейдера своему брокеру за услуги.;empirix.ru
Конвертируемость;свойство актива, отражающее легкость его обратимости в другой актив. К примеру, высокая степень конвертируемости американского доллара в евро указывает на простоту обмена одной валюты на другую; а низкая степень конвертируемости нижегородской квартиры на акции компании «Apple» говорит о практической невозможности совершения подобной сделки.;empirix.ru
Конвергенция (англ. convergence;схождение) — это зеркальное отражение дивергенции: цена снижается, но индикатор уже не может, он начинает растет.;empirix.ru
Контрагент;другая сторона в сделке.;empirix.ru
Конъюнктура рынка;складывающаяся на рынке ситуация в конкретный момент времени. Конъюнктура рынка включает в себя следующие величины: соотношение спроса и предложения выбранных активов; рыночные котировки активов; объемы торгов активами; и другие.;empirix.ru
Консолидация;(англ. consolidation) другое название флэта. Период, когда цена не проявляет трендовых движений.;empirix.ru
Корреляция;взаимосвязь движения отдельных инструментов.;empirix.ru
Котировка;цена актива.;empirix.ru
Котирование обратное;такой способ котирования, при котором доллар США (USD) стоит в знаменателе. К валютным парам с обратным котированием относятся EURUSD, GBPUSD, AUDUSD, NZDUSD.;empirix.ru
Котирование прямое;такой способ котирования, при котором доллар США (USD) стоит в числителе. К валютным парам с прямым котированием относят USDCAD, USDCHF, USDJPY и др.;empirix.ru
Коэффициент;отношение двух величин или множитель при переменной. Расчет коэффициентов имеет большое значение на финансовых рынках при анализе финансовой отчетности компаний. На основе сравнения коэффициентов на основе данных разных компаний или ценных бумаг инвестор может принять решение о вложении денег в наиболее привлекательные из них.;empirix.ru
Коэффициент восстановления;(англ. recovery factor) выражает отношение между средней годовой доходностью и максимальной просадкой.;empirix.ru
Коэффициент Шарпа;(англ. Sharpe Ratio) показатель эффективности торгового портфеля, систематической стратегии, торгового алгоритма. Вариант использования коэффициента Шарпа в алгоритмическом трейдинге на Форекс — как отношение средней годовой доходности к годовому стандартному отклонению.;empirix.ru
В классической формуле коэффициента Шарпа в числителе разница между доходностью рассматриваемого и альтернативного портфеля, в знаменателе;среднее отклонение портфеля.;empirix.ru
Краткосрочная процентная ставка;процентная ставка по кредитам, выдаваемым на очень короткий период (как правило до 3х месяцев).;empirix.ru
Кризис платежного баланса;вид экономического кризиса, для которого характерно то, что государственные расходы за рубежом не могут поддерживаться на прежнем уровне в связи с падением доходов или притока капитала, которые страна получает из-за рубежа. Сопровождается валютным и долговым кризисами.;empirix.ru
Кросс-курс;финансовый инструмент, не содержащий доллара США (USD). Однако сделки с кросс-курсами все равно осуществляются с участием доллара США.;empirix.ru
Ликвидность;(англ. liquidity) доступный в данный момент на рынке объем торгуемого актива.;empirix.ru
Лимит;см. Ордер отложенный.;empirix.ru
Листинг;внесение акций конкретной компании в список ценных бумаг, которые могут быть размещены на конкретной бирже и участвовать в биржевых торгах. Листинг представляет собой процедуру по подготовке ценных бумаг и транспарентности («открытости») деятельности компании к установленным биржей требованиям.;empirix.ru
Лонг;(англ. long) “длинная” сделка, или сделка на покупку.;empirix.ru
Лот;объем на сделку, равный 100 000 единицам базового инструмента. Например, покупка одного лота EUR/USD будет равняться покупке 100 000 EUR. В цифровом эквиваленте измеряется как 1.0 (100 000 базовой единицы), 0.1 (10 000 базовой единицы), 0.01 (1 000 базовой единицы).;empirix.ru
Мажор;(англ. major) активно торгуемая валютная пара с прямым или обратным котированием.;empirix.ru
Макроэкономика;экономическая модель, которая включает в себя всевозможные факторы — начиная от спроса и предложения на валюты, заканчивая ВВП стран, государственным долгом или объемом импорта/экспорта. Основателем современной макроэкономической модели считается Джон Мейнард Кейнс. ;empirix.ru
Маржа;(англ. margin) обеспечительный взнос трейдера на торговый аккаунт.;empirix.ru
Маржин-колл;(англ. margin call) дословно “звонок брокера с просьбой к клиенту пополнить маржу”; торговая ситуация, при которой у трейдера на балансе не хватает средств для поддержания открытых позиций.;empirix.ru
Маркет-мейкер;(англ. market-maker) крупный участник рынка, обязанный предоставлять ликвидность и получающий за свои услуги комиссии. Маркет-мейкерами, как правило, являются крупные мировые банки.;empirix.ru
Математическое ожидание;средняя оценка ожидаемого дохода или убытка от торговой стратегии или инвестиций на протяжении большого количества сделок или периода времени. Оно измеряется величиной валюты (например, долларов, евро) и представляет собой среднюю величину, которую можно ожидать в среднем за каждую единицу времени.;empirix.ru
Медведь;(англ. bear) участник рынка, ожидающий падение цены. Медвежий рынок – падающий рынок. См. также: Бык.;empirix.ru
Мета-ордер;(англ. metaorder) очень крупный ордер, принадлежащий, как правило, крупным игрокам.;empirix.ru
Механическая торговля;торговля с применением жестких технических правил. Чаще всего такие системы используют индикаторы и компьютерные алгоритмы.;empirix.ru
Номинальная доходность;доходность от инвестиций без учета инфляции.;empirix.ru
Объем;совокупное количество актива, проторгованного за единицу времени. См. также: индикаторы объема в Индикатор технический.;empirix.ru
Облигация;долговая ценная бумага, выпускаемая государством или корпорацией. Наиболее консервативный инструмент после банковского депозита.;empirix.ru
Обменный курс;курс обмена иностранной валюты.;empirix.ru
Обслуживание долга;расходы на обеспечение обязательств по долгу в течение определенного периода времени. Включает выплаты процентов и погашение основной суммы долга.;empirix.ru
Овернайт;(англ. overnight) процент от объема сделки, удерживаемый брокером, за перенос позиции на следующие сутки. Данный процент зависит от процентных ставок стран, чьи валюты участвуют в сделке трейдера.;empirix.ru
Оверфиттинг;(англ. overfitting) или переоптимизация торговой стратегии  — подгонка параметров стратегии на историческом тестировании, при котором стратегия показывает прибыльные результаты на истории, но, как правило, “ломается” при реальной торговле.;empirix.ru
Оптимизация;процесс настройки различных переменных в торговой стратегии. Это может быть уровень стоп-лосса, тейк-профита или настройка параметров индикатора. Оптимизация — часть процесса бэктеста.;empirix.ru
Опцион;(англ. option) инструмент, который дает его владельцу право, но не обязанность, купить или продать финансовый инструмент по оговоренному курсу в определенный период времени.;empirix.ru
Ордер;(англ. order — приказ) заявка трейдера на открытие позиции.;empirix.ru
Ордер отложенный;заявка на открытие или закрытие позиции по ценам, далеким от текущих рыночных.;empirix.ru
Ордер рыночный;заявка на открытие или закрытие позиции по текущим, рыночным ценам.;empirix.ru
Ордер лимитный;см. Ордер отложенный.;empirix.ru
Осциллятор;(англ. oscillator, от осциллировать — колебаться) индикатор, ограниченный уровнями 0% и 100%. Осцилляторы называют опережающими индикаторами ввиду того, что они часто достигают экстремальных значений перед разворотом цен. Прибыльные сигналы осцилляторов наиболее вероятны во флэтовых рынках. Однако тренды не оставляют осцилляторам шансов на прибыльные сигналы, поскольку осциллятор на тренде большинство времени проводит в экстремальной зоне.;empirix.ru
Открытый интерес;(англ. Open Interest, OI) также называют “Сумма открытых позиций”. Открытый интерес — это сумма открытых фьючерсных или опционных контрактов, по которым не производился расчет. Одним словом — открытые позиции. ОИ является популярным индикатором среди трейдеров. Сведения берутся с Чикагской товарной биржи — CME (Chicago Mercantile Exchange).;empirix.ru
Откат;коррекция цены, временное движение котировок против основного тренда.;empirix.ru
Пассив;(1) в бухгалтерском учете это часть бухгалтерского баланса, характеризующая состав и объем долгов и обязательств предприятия на данный момент. В графе пассив встречаются: заемные средства, отложенные налоговые обязательства, кредиторская задолженность, доходы будущих периодов и другое. (2) согласно Р. Кийосаки, это то, что отнимает доход.;empirix.ru
Паттерн;(англ. pattern — модель, шаблон, схема) ценовая модель либо модель, образуемая показаниями индикатора.;empirix.ru
Перекупленность;такое значение обычно дается тогда, когда цена финансового инструмента сильно выросла. Под перекупленностью понимается “перегретость” цены. Как правило, перекупленность сигнализирует об остановке либо развороте цены вниз. Два индикатора, которые помогут с определением перекупленности: RSI и Stochastic.;empirix.ru
Перепроданность;здесь все то же самое, что и с перекупленностью, только зеркально. Если цена финансового инструмента прошла значительный нисходящий тренд, значит ее считают перепроданной и недооцененной. Перепроданность сигнализирует о покупках. Измеряется индикаторами RSI и Stochastic.;empirix.ru
Пипс (англ. pips);минимально возможный шаг цены на финансовых рынках. К примеру, если валютная пара имеет следующую запись котировки: 1,26534, то 1 пипс представляет собой величину в 0,00001. Изменение котировки с 1,10003 до 1,10009 эквивалентно ее росту на 6 пипсов. В паре USDJPY пипс рассчитывается как 0,001. С помощью пипсов возможно определение малейших изменений котировок финансовых активов.;empirix.ru
Пирамидинг;(англ. pyramiding) постепенное увеличение объема работающей прибыльной позиции.;empirix.ru
Платежный баланс;все операции (например, покупка товаров, услуг и финансовых активов) между людьми/компаниями в одной стране/валюте и остальным миров. ;empirix.ru
Платформа торговая;программное обеспечение для трейдера, на котором можно анализировать графики и совершать торговые операции.;empirix.ru
Плечо кредитное;(англ. leverage) левередж, средства брокера, благодаря которым трейдер может открыть позицию объемом, превышающим его маржу.;empirix.ru
Поддержка;горизонтальный или наклонный ценовой уровень, удерживающий цену и не дающий ей падать дальше.;empirix.ru
Портфель;торгуемые финансовые инструменты у отдельного трейдера/фонда в определенный период времени.;empirix.ru
Поставщик ликвидности;(англ. liquidity supplier) участник рынка, как правило, маркет-мейкер, предоставляющий ликвидность другим участникам торгов. Поставки ликвидности – это размещение лимитных ордеров.;empirix.ru
Потребитель ликвидности;(англ. liquidity consumer) участник рынка, как правило, трейдер, потребляющий ликвидность из книги ордеров. Потребление ликвидности происходит рыночными ордерами.;empirix.ru
Поток ордеров;(англ. Order flow) совокупность всех сделок, которые поступают в книгу ордеров и которые влияют на ценообразование.;empirix.ru
Прайс экшен;(англ. Price Action) дословно поведение цены, метод анализа графиков финансовых инструментов без индикаторов, основанный на поиске моделей продолжения и разворота тренда, образующихся одним или несколькими барами (свечами). Известные модели Price Action: пин-бар, внутренний бар, DBHLC / DBLHC, внешний бар (поглощение) и др. Метод имеет сходства с японским свечным анализом.;empirix.ru
Прайм-брокер;(англ. Prime-broker) брокер, который чаще всего предоставляет услуги для трейдинга крупным компаниям, таким как инвестиционные банки и хедж-фонды. Можно сказать, что это самые премиальные компании в сфере доступа к финансовым рынкам. Этим они и отличаются от обычных брокеров, которые могут предоставлять доступ и частным трейдерам, а не только хедж-фондам.;empirix.ru
Предложение;желание и возможность участника продавать инструмент по определенной цене.;empirix.ru
Приток/отток капитала;трансграничное движение денег и кредита с целью покупки капитальных и инвестиционных активов (таких как облигации, валюта, акции). Иностранцы, скупающие/продающие активы страны, — это “приток” капитала; внутренние игроки, которые покупают и продают иностранные активы, — это “отток” капитала.;empirix.ru
Просадка;(англ. drawdown) — убыток, полученный за время от достижения исторического пика кривой доходности до исторического минимума кривой доходности.;empirix.ru
Проскальзывание;(англ. slippage) отсутствие котировки на заданных ценовых уровнях, связанная с разреженностью книги ордеров. См. также: Книга ордеров.;empirix.ru
Проп-трейдинг;(англ. proprietary trading) вид деятельности на финансовых рынках, когда компания работает со своим капиталом (без привлечения инвесторских денег), а также позволяет сотрудничать частным трейдерам с ними, отбирая лучших в основной штат.;empirix.ru
Профит-фактор;(англ. profit-factor) отношение общего дохода к общему убытку.;empirix.ru
Профит;(англ. profit) прибыль, полученная на финансовых рынках в результате успешной сделки или сделок.;empirix.ru
Процентная ставка;подлежащая выплате заимодавцу сумма, начисляемая заемщику в качестве платы за использование заемных средств, представленная в процентном выражении к сумме выданных заемных средств. То есть сумма, которую заемщик платит сверх полученной в долг суммы, а кредитор зарабатывает. В большинстве стран центральные банки стараются контролировать краткосрочные процентные ставки (например, межбанковскую ставку, называемую ставкой “овернайт”, по которой банки выдают друг другу кредиты сроком на одну ночь), тогда как на долгосрочные процентные ставки (например, по десятилетним облигациям)  в большей степени влияют предложение и спрос на такие долги.;empirix.ru
Пузырь;стадия долгового цикла, которая обычно сопровождается самоусиливащимся и неустойчивым ростом долга и цены активов, а также экономическим ростом.;empirix.ru
Ралли;(англ. rally) устойчивый, сильный и импульсный тренд вверх или вниз.;empirix.ru
Разрыв ВВП;относительная мера того, насколько высоко или низко загружены производственные мощности страны. Она основана на разнице между тем, сколько экономика производит сегодня по сравнению с уровнем производства, возможным в течение более длительного периода без отрицательных последствий (что также известно как “экономический потенциал”). Эта мера основана на производительности труда. Виды:;empirix.ru
Реальная доходность;доходность по инвестициям с учетом инфляции.;empirix.ru
